Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank_se_1,Blank_se_2,Blank_se_3,Blank_ur_1,Blank_ur_2,MSMS_pos_se_ur,QC_se_1,QC_se_2,QC_se_3,QC_se_ur_1,QC_se_ur_2,QC_se_ur_3,QC_ur_1,QC_ur_2,se_1,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,ur_1,ur_10,ur_11,ur_12,ur_14,ur_2,ur_3,ur_4,ur_5,ur_6,ur_7,ur_8,ur_9
6113,12.549,247.12898,Unknown,[M+H]+,null,0.56,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6113,0,0,null,null,null,null,null,null,null,31.33,ur_14,247.12898:34889304 248.13365:44127188 249.13832:0,null,0,27607,0,0,36260,922648,2317448,2385319,2560477,6697149,4442465,3095184,10242888,10005478,702132,1122182,780486,1912100,830083,887816,1035309,1160075,946597,434842,862968,1274138,732158,1649318,617455,1005290,753155,1518861,9772228,5083146,1419343,35654698,1175071,3625179,613206,2233723,11448332,2815027,3549669,1275274
6114,3.792,247.13062,Unknown,[M+H]+,null,0.22,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6114,0,0,null,null,null,null,null,null,null,25.32,ur_9,247.13062:9071360 248.13528:4510322 249.13995:11035514,null,32815,0,33876,42488,0,15140,0,0,0,2941732,1716906,1187984,326264,624358,0,0,0,0,0,0,0,0,0,0,136498,109853,0,0,0,0,0,5297684,7546798,3673403,8578528,1981281,8465735,5978299,4344419,6506192,7998091,4232541,6643587,8796064
6115,13.728,247.13983,Unknown,[M+H]+,null,0.6,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6115,0,0,null,null,null,null,null,null,null,75.9,ur_7,247.13983:39602664 248.14450:3583808 249.14917:1312282,null,0,27607,0,0,0,2162562,3333505,3618629,3521904,34321394,26025163,18963920,38011741,37386460,1816774,2284299,3362144,1610713,3045301,3267316,1541893,4090477,4263534,3047465,3296984,3566973,3729932,3578835,3022447,7878824,4046686,37515129,25854054,10472004,25777450,35557216,28680966,36489265,34061164,5756420,35845825,38053970,28462621,34177120
6116,20.705,247.14008,Unknown,[M+H]+,null,0.42,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6116,0,0,null,null,null,null,null,null,null,78.11,ur_10,247.14008:33260432 248.14474:2825125 249.14941:0,null,27060,0,11492,9485,0,2172654,40598,54925,26983,17096091,13263349,7518508,28746719,19950726,0,26686,25284,27278,18816,56573,43368,46413,29116,0,34209,0,34412,60431,72033,0,45476,21640960,33534490,24964909,17207417,19242530,20503043,21024108,18513420,31451138,31236381,18704448,27060752,16749816
6117,13.943,247.1404,Unknown,[M+H]+,null,0.36,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6117,0,0,null,null,null,null,null,null,null,68.66,QC_ur_2,247.14040:37193647 248.14506:4210032 249.14973:1844560,null,0,0,0,0,0,2155460,3333505,3618629,3504637,34321394,8391020,18963920,37440674,36903049,1816774,2284299,3362144,1610713,3045301,3267316,1541893,4090477,4263534,3047465,3296984,3566973,3729932,3578835,3022447,7878824,4046686,37515129,13732520,31950343,25777450,24858514,28680966,5927560,34061164,27278015,22003738,38053970,4210499,34177120
6118,12.837,247.16501,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6118,0,0,null,null,null,null,null,null,null,19.34,ur_2,247.16501:17991356 248.16968:1434993 249.17434:0,null,4226306,4037963,4170417,4100196,4437677,906750,4706155,4609206,4506592,8819920,7030186,5167312,9079603,9173287,4208271,4601587,4308038,4293514,4248193,3631343,4363289,4466808,4444517,4254628,4598961,4246579,4326417,4588954,4096766,4355388,4339326,11418308,6885762,6044176,10820663,6675790,16931496,4493605,13441809,5610028,5479066,13052903,4354335,11623945
6119,11.253,247.16531,Unknown,[M+H]+,null,0.4,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6119,0,0,null,null,null,null,null,null,null,22.11,QC_ur_1,247.16531:11818499 248.16998:1839807 249.17465:0,null,4963700,5029228,4918763,4833449,5064665,1349906,5154617,4527810,4792825,5888802,5999498,5532410,11868290,11729342,4645837,4706510,4798730,4682552,5369539,4604405,4596752,4704342,5048350,4868200,4706927,4981364,5152877,4813808,4872843,4549225,5186650,8310208,5820272,7310721,10289578,4764156,6897597,8362608,9176546,8404474,6885448,8714401,8679086,8463412
6120,27.288,247.1656,Unknown,[M+H]+,null,0.51,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6120,0,0,null,null,null,null,null,null,null,4,QC_se_2,247.16560:1714546 248.17027:0 249.17494:0,null,1570029,1460420,1333351,1487462,1407458,140546,1420099,1571163,1359600,1358881,1399162,1253813,1362130,1456912,1274695,1263604,1479119,1357979,1364444,1405400,1484888,1185456,1349748,1250999,1427817,1361358,1365105,1565084,1299174,1442932,1356420,1139328,1222769,1370747,1341069,1554497,1445684,1315578,1449118,1465874,1506614,1313905,1469733,1363993
6121,19.673,247.16573,Unknown,[M+H]+,null,0.11,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6121,0,0,null,null,null,null,null,null,null,4.14,QC_ur_1,247.16573:5886326 248.17039:0 249.17506:0,null,2684696,2518604,2682684,3814161,2684747,284150,2720713,2634861,2544444,2674115,3033469,2559480,5084425,2820885,2813745,2537556,2713502,2697676,2836861,2592176,2772437,2744678,2914010,2700815,2647399,2663021,2563021,2761103,2657418,2578693,2548873,3017869,2672042,2951294,2545768,2421920,2730431,2884144,2890581,2546275,2792463,2924556,2721147,2722959
6122,12.888,247.16585,Unknown,[M+H]+,null,0.4,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6122,0,0,null,null,null,null,null,null,null,4.31,QC_ur_2,247.16585:9533485 248.17052:0 249.17518:0,null,4028386,4026874,4170417,4100196,4281032,771884,4364959,4231263,4520339,3630412,4620201,4476180,9079603,9173287,3981038,4601587,3718164,4218486,3667073,4555513,3775423,4341559,4444517,3769529,4343858,4317356,4326417,4360396,4039941,4355388,4071368,11418308,6723414,6044176,10820663,6389622,16931496,4493605,13441809,5610028,5479066,13052903,6146816,11623945
6123,7.507,247.16615,Unknown,[M+H]+,null,0.98,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6123,0,0,null,null,null,null,null,null,null,356.85,Blank_se_3,247.16615:163757840 248.17082:20674564 249.17549:1058780,null,104857637,105619836,106313104,95598397,98387496,8785651,92316020,95997227,92846503,30258624,39118065,41066088,32107633,32795107,95815686,79886045,90322847,98247059,89999180,93309784,90297637,94459217,90088283,96713782,91446977,91195625,92306406,88846185,95100252,91302423,94793179,31129457,26472119,31309958,27487411,19341617,27494533,41431596,35589404,28095113,25948554,32698392,26766303,27947804
6124,10.84,247.16621,Unknown,[M+H]+,null,0.22,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6124,0,0,null,null,null,null,null,null,null,11,QC_se_ur_3,247.16621:5501466 248.17088:605441 249.17555:0,null,5077363,5169477,5199765,4999203,5180488,102669,4727563,5081785,5089033,3611657,4344902,4460877,11868290,3592135,4555152,4963560,4111288,4642848,4591679,4927387,5004771,4558380,5058200,4505975,4554226,4676893,4534179,5469797,4756052,4668197,5105516,3248646,2499069,2802555,2820548,1782088,2942991,8362608,324682,2918182,2666666,2950563,3244491,2586927
6125,15.702,247.16646,Unknown,[M+H]+,null,0.29,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6125,0,0,null,null,null,null,null,null,null,2.42,QC_se_1,247.16646:3971978 248.17113:318900 249.17579:0,null,3129556,3207131,3042946,3278663,3412222,204733,3873017,3045647,3103623,3101134,2897797,2969269,2066740,2569243,3259229,3068948,3154658,3230070,3138602,3169105,3102032,3174247,3105533,2874940,3059476,3096797,3111555,3059544,2930032,3095105,3096044,2870343,1877531,3067432,2517774,1936277,2783279,3179695,1788873,2183794,2896211,2831350,2645850,2573261
6126,31.304,247.16656,Unknown,[M+H]+,null,0.18,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6126,0,0,null,null,null,null,null,null,null,3.57,se_1,247.16656:5116904 248.17123:334972 249.17590:0,null,3893826,3629108,3893584,3964498,4011177,448088,4111938,3903485,3480151,3873773,3934875,4012431,3823737,4670574,4782751,4214013,4099201,3578976,3983579,4627422,4123076,3871414,4007143,3957081,4290139,4014953,4066584,4065570,3771081,3529559,3417968,4142785,4030966,4136256,3998647,4381843,4120694,4076447,4012236,3995997,4227603,3919012,4244813,4053694
6127,4.612,247.16658,Unknown,[M+H]+,null,0.98,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6127,0,0,null,null,null,null,null,null,null,85.27,Blank_se_1,247.16658:26306952 248.17125:3166910 249.17592:190873,null,26552053,25780626,25883782,25860816,25078855,254136,19872161,21950407,23361578,9905253,13714476,14447679,11872131,10957300,22155379,23689465,21389688,22803706,22214638,22286388,22659955,22273351,22314678,22350544,22598835,22729981,22436820,21193322,22557462,21908388,22456171,11244385,8175443,10053951,10384062,7929380,10514791,14691005,10989513,9022048,7406081,11035973,10927934,9992683
6128,0.14,247.16669,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6128,0,0,null,null,null,null,null,null,null,7.1,ur_14,247.16669:7532748 248.17135:772393 249.17602:0,null,6699234,6387576,6326177,6508112,6555843,884001,6357386,6192658,5969103,6840802,6474825,6257954,6004996,6087533,6559304,6270033,6365536,6320408,6261086,6497834,6114519,6301210,6480571,6551126,6530484,6370095,6183770,6384235,6451593,6558752,6423881,6864841,6615343,6772992,6512583,7042957,6373576,6351332,6457678,6663714,7005939,6998597,6931839,6813885
6129,27.344,247.2261,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6129,0,0,null,null,null,null,null,null,null,12391.27,Blank_ur_1,247.22610:1202746 248.23077:590152 249.23544:0,null,893093,676622,604920,951410,795324,35841,438442,491958,734576,562144,751467,854693,679443,559698,385633,901794,812908,530830,447532,795400,663788,457029,677477,353899,662794,585778,765790,612150,743568,611612,862164,711735,776564,642892,657364,454803,631091,903876,513076,567510,795000,733744,579173,602632
6130,3.632,247.22665,Unknown,[M+H]+,null,0.84,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6130,0,0,null,null,null,null,null,null,null,122728.6,ur_3,247.22665:6774668 248.23132:470157 249.23599:0,null,1834553,1197903,1109231,978936,641402,213982,879622,922614,708708,2390622,2730727,2992958,2476244,2539632,1151037,2026340,2072624,1557521,926369,2182256,1499714,955912,2093916,0,1483503,492308,33971,330392,1462576,413634,1823187,1772112,3011192,1529047,1394927,4521110,2361905,5606730,1187192,1761411,3714111,995293,4153954,1401821
6131,13.577,247.6118,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6131,0,0,null,null,null,null,null,null,null,559628.6,ur_7,247.61180:962366 248.61647:0 249.62114:0,null,0,0,0,0,0,49390,0,0,0,146735,160394,135595,235240,373459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215391,157147,323023,0,196914,232971,468858,247360,320104,110744,559629,141267,173180
6132,15.352,247.91212,Unknown,[M+H]+,null,0.29,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6132,0,0,null,null,null,null,null,null,null,213905.5,se_1,247.91212:611519 248.91679:0 249.92146:0,null,0,0,0,0,0,0,0,0,0,0,0,90502,0,0,457170,195732,304536,222552,316167,137283,272301,176263,256190,80052,276105,156988,234219,37726,105411,256751,222984,131866,0,0,0,0,126922,0,0,0,0,0,0,0
6133,12.671,247.94987,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6133,0,0,null,null,null,null,null,null,null,7.83,se_1,247.94987:357174 248.95454:0 249.95921:0,null,0,0,0,0,0,0,0,0,0,0,0,220572,0,0,350314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6134,16.988,247.97113,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6134,0,0,null,null,null,null,null,null,null,3.48,ur_1,247.97113:262964 248.97580:0 249.98047:0,null,0,0,0,0,0,11318,0,26522,0,0,0,0,96204,0,0,278396,208501,246685,308634,337665,205175,215598,218855,196466,192999,116401,214793,225618,225679,308725,146866,224791,0,65514,40118,0,111851,0,0,252458,0,144346,0,0
6135,16.333,247.98055,Unknown,[M+H]+,null,0.33,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6135,0,0,null,null,null,null,null,null,null,7.66,se_14,247.98055:360023 248.98521:0 249.98988:0,null,0,0,0,0,0,2379,0,26522,0,0,0,0,96204,0,34930,278396,208501,246685,308634,337665,266516,215598,218855,196466,192999,116401,229940,225618,225679,308725,146866,53767,0,65514,170545,0,137268,0,0,109196,0,144346,0,0
6136,7.125,247.9964,Unknown,[M+H]+,null,0.24,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6136,0,0,null,null,null,null,null,null,null,83321.3,ur_9,247.99640:2266999 249.00107:0 250.00573:0,null,80912,0,0,0,0,0,0,0,0,107391,659430,659828,0,0,0,0,0,32891,0,0,0,0,0,0,0,0,0,0,0,0,0,1258724,916404,1338418,651425,0,1593098,0,847504,2080546,704166,1445338,1241842,2099239
6137,13.476,248.01678,Unknown,[M+H]+,null,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6137,0,0,null,null,null,null,null,null,null,16.03,ur_14,248.01678:3597368 249.02145:0 250.02612:0,null,0,0,0,0,0,24789,0,63350,0,217766,0,717023,0,0,0,180725,25095,25269,24482,24332,689518,402216,950772,27152,229395,29009,35113,750685,671937,46480,683624,1807727,2922109,1074745,1088899,3318376,1353372,940958,2095854,2511812,1826144,1425153,1174918,1566133
6138,16.002,248.01918,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6138,0,0,null,null,null,null,null,null,null,4.76,ur_7,248.01918:1015686 249.02385:0 250.02852:0,null,0,0,0,0,0,73414,0,0,0,882692,590902,478917,298924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461880,299758,372422,237319,140792,399012,0,566968,228038,0,647734,518384,276048
6139,18.722,248.02138,Unknown,[M+H]+,null,0.93,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6139,0,0,null,null,null,null,null,null,null,53.66,ur_8,248.02138:15135617 249.02605:212279 250.03071:5795516,null,25965,185281,283958,110815,0,236161,2754291,2804187,2841497,7211754,4832623,3871268,5934359,4254621,2482492,3083891,2609157,2698677,2702845,2765129,2654954,2810968,2747132,2713396,2629096,2622639,2636429,2992351,2534737,2878815,2590075,6027036,8594651,6714994,1210699,11404216,6465115,4608329,3754431,4614496,8704609,5465538,14351304,3112165
6140,13.003,248.02719,Unknown,[M+H]+,null,0.36,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6140,0,0,null,null,null,null,null,null,null,34.89,se_6,248.02719:1873246 249.03186:0 250.03653:0,null,0,0,0,0,0,30061,0,63350,0,0,0,439356,0,165180,0,1502626,949220,939672,827086,1000341,1000970,1091668,985729,1064911,1205463,1462060,1336579,1839277,925169,1542553,773994,1706490,256275,341717,2464490,893669,2224545,182824,1739269,2065308,318102,337948,414074,3594721
6141,7.709,248.02892,Unknown,[M+H]+,null,0.33,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6141,0,0,null,null,null,null,null,null,null,10.61,ur_12,248.02892:6218179 249.03358:1181770 250.03825:0,null,44786,0,0,0,0,0,257801,324070,402908,381903,882039,1020849,0,0,130504,526120,199822,0,265016,196470,139780,306013,317258,112538,131247,213547,191322,560502,179856,243011,60395,726481,252535,559859,5867470,208628,479874,2128077,231102,201849,0,264292,241322,501784
6142,13.352,248.0352,Unknown,[M+H]+,null,0.09,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6142,0,0,null,null,null,null,null,null,null,16.23,ur_9,248.03520:3382242 249.03987:21529874 250.04454:6998531,null,0,0,0,0,0,30061,0,63350,0,0,0,429001,0,165180,0,117215,949220,939672,827086,1000341,1000970,1091668,950772,1064911,1205463,29009,1336579,1839277,925169,1542553,773994,1706490,138822,341717,2464490,183574,2224545,98886,1739269,1968991,318102,2492044,552855,3353508
6143,16.506,248.0397,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6143,0,0,null,null,null,null,null,null,null,4.23,QC_se_3,248.03970:157171 249.04437:5348780 250.04904:375558,null,0,0,0,29772,0,3483,49409,25259,114518,0,0,0,0,0,0,35074,0,22830,0,0,26374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35378,0,0,0,0,0,0,0,0
6144,4.772,248.04037,Unknown,[M+H]+,null,0.02,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6144,0,0,null,null,null,null,null,null,null,12.63,QC_ur_1,248.04037:2477548 249.04504:0 250.04971:114005000,null,0,0,0,0,0,116664,0,0,0,7482430,7166780,5467855,2542613,2297030,0,54923,0,0,0,104458,0,0,0,0,0,0,0,0,0,0,0,0,4776299,0,0,8542866,0,172737,0,453058,6459308,0,739521,0
6145,7.673,248.04068,Unknown,[M+H]+,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6145,0,0,null,null,null,null,null,null,null,17.37,QC_ur_1,248.04068:4328165 249.04535:0 250.05002:3613626,null,0,0,0,0,0,641218,38733,0,0,9109470,8458060,7390146,4606295,4449661,0,0,0,0,0,0,0,0,0,0,0,114446,0,0,0,0,0,170917,3838203,324073,540780,17807670,159192,178852,231102,311199,3993296,539864,1220057,230222
6146,9.376,248.05135,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6146,0,0,null,null,null,null,null,null,null,10.66,QC_se_ur_1,248.05135:3693594 249.05601:0 250.06068:0,null,0,0,0,0,0,0,47030,74401,26210,2940753,2068142,2106485,0,222073,0,0,0,0,0,0,0,0,0,49163,0,0,0,0,0,0,0,2290707,273270,1469700,1867754,353620,2504399,1217855,378220,1143491,1314919,1449127,2259840,1993097
6147,9.681,248.06358,Unknown,[M+H]+,null,0.76,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6147,0,0,null,null,null,null,null,null,null,10787.04,ur_10,248.06358:15669947 249.06825:2413551 250.07292:0,null,0,0,0,0,0,21262,3209658,3805548,4066038,12382748,8339297,8062563,37740348,35569873,365856,900541,857614,579598,481226,366716,678143,651122,466558,320684,493367,330970,474562,533754,343481,234225,498595,8884293,15053596,8382837,10062989,14462349,7548275,7101203,6165701,10150166,11345061,6453031,9692102,10225713
6148,8.864,248.06946,Unknown,[M+H]+,null,0.49,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6148,0,0,null,null,null,null,null,null,null,20.42,QC_ur_1,248.06946:40946612 249.07413:3068452 250.07879:0,null,0,0,0,0,0,1620944,404198,484374,548645,11425270,9217286,8034941,37740348,35569873,365856,900541,857614,42366,481226,104535,49562,651122,466558,52556,493367,34390,46837,44988,343481,52216,36981,18248637,19029953,21525492,13604879,17403774,15853433,17299532,28930514,22638756,17828550,20236222,12539200,12956500
6149,17.686,248.07614,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6149,0,0,null,null,null,null,null,null,null,6.03,ur_3,248.07614:55626864 249.08081:5455351 250.08548:1247732,null,0,0,0,0,25168,331724,23166,30222,34228,4340840,5471960,2193157,2979429,2347764,0,24704,0,0,0,0,25231,0,0,25526,33410,28929,0,98545,0,23032,0,1557476,4044669,1801071,1269508,1306785,1017447,56070884,1446881,5677448,3502303,1486565,2919857,1555151
6150,16.653,248.07617,Unknown,[M+Na]+,null,0.29,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6150,0,0,null,null,null,null,null,null,null,8.45,ur_3,248.07617:56593596 249.08084:5566665 250.08551:1373831,null,0,0,0,0,0,137679,152364,133214,251549,5439669,9421802,7168229,5898750,5828058,0,24704,0,0,0,0,25231,0,0,25526,33410,28929,0,98545,0,38895,0,814320,81405,9176554,11436476,1306785,93491,52477865,104076,6752406,5706892,994359,2441568,140841
6151,6.188,248.07732,Unknown,[M-H2O-H]-,null,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6151,0,0,null,null,null,null,null,null,null,13.63,ur_14,248.07732:24482070 249.08198:2868140 250.08665:0,null,0,0,0,0,20769,541168,0,0,0,5606750,7851521,4767233,13698248,15248086,0,0,0,0,23805,0,0,0,48485,0,0,0,0,0,0,0,0,912376,12050813,463101,1504360,23537243,1506829,154830,139896,416590,21530448,141513,993885,472302
6152,7.437,248.07745,Unknown,[M+H]+,null,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6152,0,0,null,null,null,null,null,null,null,15.13,ur_14,248.07745:37134424 249.08212:3880624 250.08679:2194838,null,0,0,0,0,20769,459401,404198,484374,548645,5009249,3300528,4366561,8441044,9590662,0,0,0,42366,23805,104535,49562,0,48485,0,0,34390,46837,44988,0,36000,36981,168978,7535295,514262,1504360,26022332,78060,273379,179461,188819,14614120,291388,522538,485441
6153,13.802,248.09468,Unknown,[M+H]+,null,0.78,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6153,0,0,null,null,null,null,null,null,null,128.81,QC_ur_1,248.09468:255128048 249.09935:25469820 250.10402:8570465,null,0,0,23258,0,0,22271336,1577235,1490213,1598161,218275078,157268528,49128697,245059146,244124429,367462,1155708,540052,1255704,906453,976363,609109,1030441,642740,986127,559348,444830,564248,2150886,1311718,561723,982618,94281332,204229849,208978185,117935412,93491218,85045220,67242009,100349252,165768263,174236462,114673493,195519257,119844016
6154,4.589,248.09477,Unknown,[M+H]+,null,0.36,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6154,0,0,null,null,null,null,null,null,null,13.9,ur_2,248.09477:17759024 249.09944:1459974 250.10411:49532016,null,0,0,23434,29946,0,816389,298872,719292,942033,8337596,7961598,7559731,12159413,10512358,0,0,0,0,0,0,0,84062,48485,75908,0,0,0,2957954,1724028,93332,1819638,13287274,8192025,14790386,11041476,1692334,15211985,13734878,13281109,8057756,6412162,12321389,11755642,10126043
6155,5.648,248.0948,Unknown,[M+H]+,null,0.33,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6155,0,0,null,null,null,null,null,null,null,10.06,ur_4,248.09480:16723667 249.09947:1632014 250.10414:52850564,null,0,0,0,0,0,406572,270084,652479,872342,2401226,6356671,5919072,11159717,9890182,0,0,0,0,0,0,0,70920,48485,75908,0,0,0,2584900,1380008,0,1408697,13737620,10801079,3817839,10349639,689330,13739029,11846895,13759723,4016346,6846608,12385592,10595106,4063465
6156,7.358,248.10356,Unknown,[M+H]+,null,0.07,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6156,0,0,null,null,null,null,null,null,null,24.66,ur_12,248.10356:8360221 249.10823:0 250.11290:5810970,null,0,0,0,22579,0,95919,2352004,2517612,2676378,145272,117678,335252,2181980,3631836,787036,1833603,911826,587708,1126528,694089,743277,922908,1338590,902013,1304126,839660,1148333,1339561,483088,1335653,747504,1169814,4147233,1839767,8011422,2131346,1413057,529080,2126463,1871436,2089421,1577880,821402,5589508
6157,13.082,248.11258,no MS2: 1-Isothiocyanato-9-(methylsulfinyl)-nonane; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.84,FALSE,-1,248.11374,C11H21NOS2,Sulfoxides,MQFLXLMNOHHPTC-UHFFFAOYNA-N,CS(=O)CCCCCCCCCN=C=S,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,6157,0,0,0.93,-1,-1,-1,-1,-1,0.93,80.47,se_1,248.11299:936271 249.11766:0 250.12233:0,null,0,0,0,27892,0,14506080,1307500,1335095,1439639,144661392,98731295,74023627,176217743,167299478,735148,1921616,925186,824427,2076578,1497453,834888,1116922,2046238,1539428,2222191,737004,1334856,1861902,1780017,1648200,1727940,190918056,95542754,165142605,193472235,53835118,184178193,131451276,197023308,183762724,88824402,194248752,163638901,195524227
6158,12.104,248.11273,no MS2: 1-Isothiocyanato-9-(methylsulfinyl)-nonane; LC-ESI-QTOF; MS2; CE,[M+H]+,null,0.42,FALSE,-1,248.11374,C11H21NOS2,Sulfoxides,MQFLXLMNOHHPTC-UHFFFAOYNA-N,CS(=O)CCCCCCCCCN=C=S,530,FALSE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: MSMS-Pos-MassBank_1,FALSE,FALSE,6158,0,0,0.94,-1,-1,-1,-1,-1,0.94,21.76,QC_ur_2,248.11301:22006400 249.11767:1541962 250.12234:4125108,null,0,0,0,27755,0,2851508,55842,100527,79977,15621172,11543825,8013223,20999502,20217332,735148,35538,31830,42186,39763,57244,35808,47097,46002,32017,39916,108571,72148,1861902,48280,1648200,84801,16231490,23984441,16147944,14831495,18472651,19902112,13504245,20040974,23189277,15903328,16289476,15772098,17817372
